sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,sq_mt_price_by_place
58.0,2,1,5,702,139000,2397,Pisos,False,None,,None,None,False,False,False,None,False,True,False,F,False,True,False,False,False,2915.33
111.0,4,3,,1146,279000,2514,Pisos,False,False,1974.0,False,True,False,True,True,True,False,False,False,en trámite,False,None,None,None,None,2679.63
180.0,3,2,4,2265,765000,4250,Áticos,False,False,1992.0,False,True,True,True,True,True,True,True,True,F,True,None,None,None,None,4275.46
170.0,4,2,2,2285,775000,4559,Pisos,False,False,,None,None,True,True,True,True,True,False,True,en trámite,True,False,False,True,True,4275.46
265.0,4,5,,2058,670000,2528,Casa o chalet,False,False,,None,None,True,True,None,None,True,False,True,no indicado,True,False,True,False,True,3607.13
101.0,3,2,2,1174,290000,2871,Pisos,False,False,1997.0,False,True,False,True,True,True,False,True,True,en trámite,False,None,None,None,None,2915.33
57.0,1,1,7,773,158000,2772,Pisos,False,False,,False,True,True,True,True,True,False,True,False,en trámite,False,True,False,False,True,2915.33
57.0,1,1,4,791,163000,2860,Pisos,False,False,,False,True,False,True,True,True,False,True,False,en trámite,False,True,True,False,False,2915.33
59.0,1,1,8,732,147000,2492,Pisos,True,False,,None,None,False,False,True,True,False,True,False,en trámite,False,None,None,None,None,2915.33
146.0,3,2,1,1943,620000,4247,Pisos,False,False,2005.0,False,True,True,True,True,True,True,False,True,en trámite,True,True,False,True,False,3773.82
120.0,3,2,7,1549,448000,3733,Áticos,False,False,,True,False,False,True,True,True,True,True,True,E,True,False,True,True,False,3773.82
60.0,2,1,4,762,154900,2582,Pisos,False,False,1959.0,None,None,True,True,None,True,False,False,False,en trámite,False,None,None,None,None,3152.53
69.0,3,1,3,833,175000,2536,Pisos,False,False,1976.0,None,None,False,False,False,True,False,True,True,en trámite,False,None,None,None,None,3152.53
96.0,3,1,7,1250,320000,3333,Pisos,False,None,,False,True,True,False,True,True,False,True,False,en trámite,False,None,None,None,None,3152.53
78.0,1,1,,1122,270000,3462,Pisos,False,False,2006.0,False,True,True,True,True,False,False,True,True,en trámite,True,False,False,False,True,3152.53
